Designator	Footprint	Mid	X	Mid	Y	Ref	X	Ref	Y	Pad	X	Pad	Y	TB	Rotation	Comment
R47	R0603	1438.973	2993.113	1438.976	2993.11	1438.973	2966.342	T	90	10K						
R5	R0603	3200.784	2188.98	3200.787	2188.976	3200.784	2162.208	T	90	4.7K						
R56	R0603	3678.003	3341.003	3678	3341	3651.231	3341.003	T	360	10r						
R57	R0603	3780.003	3341.003	3780	3341	3753.231	3341.003	T	360	100K						
R58	R0603	3968.501	3255.909	3968.504	3255.905	3968.501	3229.137	T	90	1.8K						
R59	R0603	1909.452	1866.139	1909.449	1866.142	1909.452	1892.91	T	270	100K						
R6	R0603	3200.784	2015.745	3200.781	2015.748	3200.784	2042.516	T	270	4.7K						
R60	R0603	1484.255	1865.154	1484.252	1865.158	1484.255	1891.926	T	270	100K						
R61	R0603	2385.83	1865.326	2385.827	1865.329	2385.83	1892.098	T	270	100K						
R62	R0603	3277.562	1865.326	3277.559	1865.329	3277.562	1892.098	T	270	100K						
R69	R0603	3508.003	2873.997	3508	2874	3508.003	2900.769	T	270	1.8K						
R7	R1206	1217.52	1449.795	1217.52	1449.803	1217.52	1505.787	T	270	0.1r						
R70	R0603	4637.792	3409.452	4637.795	3409.449	4637.792	3382.68	T	90	1.8K						
R71	R0603	4444.885	3409.446	4444.882	3409.449	4444.885	3436.217	T	270	10r						
R72	R0402	1496.496	2829.957	1496.496	2830.008	1496.496	2848.906	T	270	1M						
R73	R0603	3165.358	2877.956	3165.354	2877.953	3138.586	2877.956	T	360	10K						
R74	R0603	4375.003	1500.003	4375	1500	4348.231	1500.003	T	360	0r						
R75	R0603	4374.997	1549.997	4375	1550	4401.769	1549.997	T	180	0r						
R8	R1206	1809.055	1449.795	1809.055	1449.803	1809.055	1505.787	T	270	0.1r						
R9	R0603	3376.997	3181.003	3377	3181	3376.997	3154.231	T	90	10r						
RN1	CAY16	2579.346	1951.559	2579.724	1951.772	2626.968	1978.346	T	180	10K						
RN2	CAY16	2579.346	1796.047	2579.724	1796.26	2626.968	1822.834	T	180	10K						
RN3	CAY16	2579.346	1656.283	2579.724	1656.496	2626.968	1683.07	T	180	10K						
RN5	CAY16	1919.898	2919.078	1920.276	2919.291	1967.52	2945.865	T	180	1K						
RV1	R0603	1544.997	2635.003	1545	2635	1544.997	2608.231	T	90	CG0603MLC-05E						
RV2	R0603	1545.003	2739.997	1545	2740	1545.003	2766.769	T	270	CG0603MLC-05E						
U1	QFN32_050050	1779.744	2710.256	1780	2710	1711	2615.512	T	90	Atmega32u2						
U10	QSOP16	1992.445	2309.789	1992.126	2310.039	1889.764	2397.539	T	270	ADUM7441						
U2	TQFP100_140140_012	2616.807	2519.98	2616.787	2520	2853.787	2834.96	T	270	Atmega2560						
U5	QFN32_050050	1287.146	1675.752	1287.402	1676.008	1381.89	1607.008	T	180	A4982						
U6	QFN32_050050	1738.051	1675.752	1738.307	1676.008	1832.795	1607.008	T	180	A4982						
U7	QFN32_050050	2176.673	1675.752	2176.929	1676.008	2271.417	1607.008	T	180	A4982						
U8	QFN32_050050	3064.705	1668.862	3064.961	1669.118	3159.449	1600.118	T	180	A4982						
Y1	CRYS320250	2139.854	2582.353	2140.146	2581.991	2176.563	2536.715	T	90	7M-16.000MEEQ-T						
Y2	CRYS320250	1654.246	2403.758	1653.955	2404.12	1617.537	2449.396	T	270	7M-16.000MEEQ-T						
