Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\mini_Rambo\Mini-Rambo\board\Project Outputs for Einsy_Rambo_0.3a\Einsy Rambo_projectVersion.txt

========================================================================================================================
File Design Information:

Date:       28/07/17
Time:       14:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                            Layer    Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                Ref-X(mm) Ref-Y(mm) 
D15        BAT54                              TopLayer SOD523_IPC                  74.3712      53.5178      180      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           74.3712   53.5178   
D14        BAT54                              TopLayer SOD523_IPC                  54.7306      33.6740      360      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           54.7306   33.6740   
Q2         NCV8402AD                          TopLayer NCV8402AD-SOIC8             72.8663      45.6066      180      "IC DVR LOW SIDE 8-SOIC"                                                   72.8663   45.6159   
R50        100K                               TopLayer R0402                       71.7817      49.7840      360      "RES 100K OHM 1% 1/16W 0402"                                               71.7804   49.7840   
R49        100K                               TopLayer R0402                       74.1439      49.7840      360      "RES 100K OHM 1% 1/16W 0402"                                               74.1426   49.7840   
R48        100R                               TopLayer R0402                       71.7791      50.8762      180      "RES SMD 100 OHM 1% 1/16W 0402"                                            71.7804   50.8762   
C17        100nF                              TopLayer C0402                       62.4814      25.0888      360      "CAP CER 0402 100nF 16V 10% X7R"                                           62.4776   25.0888   
Q1         PSMN7R0-60YS,115                   TopLayer SOT669                      71.2771      12.8886      90       "Mosfet N-channel 60V 356A 117W 9.3mOhms"                                  71.1596   12.8886   
C90        100nF                              TopLayer C0603                       11.2458      21.4820      90       "CAP CER 0603 100nF 50V 10% X7R"                                           11.2458   21.4820   
C91        22nF                               TopLayer C0402                       11.0464      19.6532      360      "CAP CER 0402 22nF ±10% 50V X7R"                                           11.0426   19.6532   
C92        100nF                              TopLayer C0402                       8.8544       20.8724      180      "CAP CER 0402 100nF 16V 10% X7R"                                           8.8582    20.8724   
C93        0603                               TopLayer C0603                       50.0570      28.0606      360      "CAP CER 10UF 6.3V 10% JB 0603"                                            50.0570   28.0606   
C94        100nF                              TopLayer C0402                       3.0924       14.5262      90       "CAP CER 0402 100nF 16V 10% X7R"                                           3.0924    14.5224   
C95        100nF                              TopLayer C0402                       11.0934      18.0238      270      "CAP CER 0402 100nF 16V 10% X7R"                                           11.0934   18.0276   
C96        1uF                                TopLayer C0402                       11.0388      16.4020      180      "CAP CER 0402 1uF 6.3V 10% X5R"                                            11.0426   16.4020   
C97        1nF                                TopLayer C0603                       12.7318      9.8234       270      "CAP CER 0603  1nF 50v 10% X7R"                                            12.7318   9.8234    
C98        1nF                                TopLayer C0603                       11.2586      9.8292       270      "CAP CER 0603  1nF 50v 10% X7R"                                            11.2586   9.8292    
C99        100nF                              TopLayer C0603                       7.0802       23.8950      270      "CAP CER 0603 100nF 50V 10% X7R"                                           7.0802    23.8950   
C100       1nF                                TopLayer C0603                       9.7980       10.1790      270      "CAP CER 0603  1nF 50v 10% X7R"                                            9.7980    10.1790   
C101       1nF                                TopLayer C0603                       2.4320       12.5666      180      "CAP CER 0603  1nF 50v 10% X7R"                                            2.4320    12.5666   
C102       100nF                              TopLayer C0603                       8.3502       10.5346      90       "CAP CER 0603 100nF 50V 10% X7R"                                           8.3502    10.5346   
C24        UWT1V101MCL1GS                     TopLayer CAP-ELEC-063063077          11.9062      26.3334      180      "CAP ALUM 100UF 35V 20% SMD"                                               11.9062   26.3334   
C104       100nF                              TopLayer C0603                       10.9918      12.1602      180      "CAP CER 0603 100nF 50V 10% X7R"                                           10.9918   12.1602   
C105       100nF                              TopLayer C0603                       9.0614       22.0662      180      "CAP CER 0603 100nF 50V 10% X7R"                                           9.0614    22.0662   
R12        10R                                TopLayer R0402                       12.5666      15.5651      90       "RES SMD 10 OHM 1% 1/16W 0402"                                             12.5666   15.5638   
R17        0.22R                              TopLayer R1206                       5.3530       24.1238      90       "RES SMD 0.22 OHM 1% 1/2W 1206"                                            5.3530    24.1236   
R18        0.22R                              TopLayer R1206                       5.2258       10.8394      180      "RES SMD 0.22 OHM 1% 1/2W 1206"                                            5.2260    10.8394   
R13        0.6r                               TopLayer 2512R-0.55                  81.5530      65.5510      180      "RES 0.06 OHM 1W 1% 2512 SMD"                                              81.5530   65.5510   
D16        RSB39VTE-17                        TopLayer SOD323-R                    10.0945      47.8282      270      "DIODE TVS"                                                                9.6500    47.6250   
S1         1571610-2                          TopLayer B3F-31XX                    4.0000       56.0000      270      "SWTCH Momentary Washable"                                                 4.0000    56.0000   
X2         USB-B                              TopLayer PN61729                     9.3622       38.9901      270      "USB connector B PTH"                                                      7.0000    39.0000   
U2         Atmega2560                         TopLayer TQFP100_140140_012          41.4669      39.0075      270      Atmega2560                                                                 41.4664   39.0080   
LED7       GRN                                TopLayer LED2012120                  3.0586       48.2790      180      "LED 0805 Green"                                                           3.0670    48.2790   
C6         100nF                              TopLayer C0402                       52.0038      43.8500      360      "CAP CER 0402 100nF 16V 10% X7R"                                           52.0000   43.8500   
C9         100nF                              TopLayer C0402                       31.7182      42.5856      270      "CAP CER 0402 100nF 16V 10% X7R"                                           31.7182   42.5894   
C8         100nF                              TopLayer C0402                       50.9968      34.9546      90       "CAP CER 0402 100nF 16V 10% X7R"                                           50.9968   34.9508   
C7         100nF                              TopLayer C0402                       41.1102      29.4016      0        "CAP CER 0402 100nF 16V 10% X7R"                                           41.1064   29.4016   
